title,content,images,description,video link,specification_heading,specification_key,specification_value,Url
,,,,,,Display:,"Seven-digit, seven-segment LCD display 121 × 24 dot matrix messaging area with white LED backlight",
,,,,,,Keys/Buttons:,"Flat membrane panel, tactile feel 882IS: zero, gross/net, tare, print, units conv, start, stop, on/off 882IS Plus: zero, gross/net, tare, print, units conv, start, stop, full numeric keypad, on/off",
,,,,,,Rating/Material:,IP66 enclosure Stainless steel,
,,,,,,Warranty:,One-year limited,
,,,,,,Approvals:,cULus Listed* FM Entity ATEX IECEx NTEP CC 19-015 Measurement Canada AM-6124C OIML R76/2006-A-NL1-21.11 EU Test Certificate T11166 cULus* Listed CE Marked *cULus is only applicable to 882IS I/O and battery charger,
,,,,,,,,
,,,,,,,,
,,,,,RL1200 IS Dimensions,,,
Summit® 3000 Floor Scale and 120 Plus Indicator Package,"Package includes: Summit 3000 4 ft × 4 ft × 3.625 in floor scale, 20 ft of EL147 load cell cable with quick disconnect, and 120 Plus indicator",https://www.ricelake.com/media/jk3j0cba/_portals_0_products_e3c7cf837c3146a3a693a7acef46211b-orig.png?mode=max&width=500&rnd=132495834803830000,Industrial Floor Scale System,,Summit 3000 Floor Scale Specifications,End Load Capacity:,"100% full scale at 5,000 lb 80% full scale at 10,000 lb",https://www.ricelake.com/products/summit-3000-floor-scale-and-120-plus-indicator-package/
,"Package configured and factory calibrated for 5,000 divisions",https://www.ricelake.com/media/yhodsp53/_portals_0_products_35bc2ce2107a499fac58e03f9b65ab01-orig.jpg?mode=max&width=500&rnd=132495834508200000,"Our Legal for Trade Summit 3000 floor scale and indicator package is an economical choice for many industrial weighing tasks. Its durable low-profile deck fits well into many material handling environments, and it’s paired with our easy-to-use 120 Plus digital weight display and 20 feet of load cell cable.",,,Cable Length:,20 ft (6.1 m) for connecting  junction box to indicator,
,"Four NTEP Certified alloy steel, shear-beam load cells",,,,,Threaded Eyebolt:,Hole (1/2-20 NF) located in center of deck for easy lifting,
,Top-access junction box,,,,,Warranty (limited):,Weldment and load cells two-years All other components one-year,
,Rugged diamond safety treadplate steel deck,,,,,Power:,Line voltages: 115 or 230 VAC Frequency: 50 or 60 Hz,
,"Four adjustable rigid polyurethane rubber feet, 3 in (76 mm) diameter",,,,120 Plus Indicator Specifications,Battery Life:,"60 hours with 1 × 350 ohm, 40 hours with 4 × 350 ohm Charge time: Eight hours",
,Signal trim summing board housed in ABS enclosure,,,,,Communication Port:,"EDP port: Full duplex RS-232 Printer port: Output-only RS-232 or active 20 mA current loop Both ports: 9600, 4800, 2400, 1200, 600, 300bps; Seven or eight data bits; even, odd or no parity",
,Threaded eyebolt hole (1/2–20NF) located in the center of the deck for easy lifting,,,,,Display:,"0.8 in (20 mm) six-digit LCD with backlight, seven-segment digits",
,Large 0.8 in backlit liquid crystal display (LCD),,,,,Annunciators:,"Battery, setpoint 1 and 2, Hold",
,115 or 230 VAC wall adapter with rechargeable battery,,,,,Keys/Buttons:,"Zero, tare, preset tare, hold, gross/net, units, numeric 0-9, clear, enter/print",
,,,,,,Rating/Material:,Enclosure: heavy gauge ABS,
,,,,,,Warranty:,One-year limited,
,,,,,,Approvals:,"NTEP 03-059, Class III/IIIL 10,000d Measurement Canada AM-5517 EU Test Certificate TC7626 (120 Plus) Class III, 10,000d CE Marked",
,,,,,,,,
,,,,,,,,
Summit® 3000 Floor Scale and 120 Indicator Package,"Package includes: Summit 3000 4 ft × 4 ft × 3.625 in floor scale, 20 ft of EL147 load cell cable with quick disconnect, and 120 indicator",https://www.ricelake.com/media/jk3j0cba/_portals_0_products_e3c7cf837c3146a3a693a7acef46211b-orig.png?mode=max&width=500&rnd=132495834803830000,Industrial Floor Scale Package,,Summit 3000 Floor Scale Specifications,End Load Capacity:,"100% full scale at 5,000 lb 80% full scale at 10,000 lb",https://www.ricelake.com/products/summit-3000-floor-scale-and-120-indicator-package/
,"Package configured and factory calibrated for 5,000 divisions",https://www.ricelake.com/media/5xggssv4/_portals_0_products_979e21de95a640e0a6223294752d5fb4-orig.jpg?mode=max&width=500&rnd=132495834627700000,Our Summit 3000 floor scale and indicator package is an economical choice for many industrial weighing tasks. Its durable low-profile deck fits well into many material handling environments that require Legal for Trade weighing. It comes with our straightforward 120 digital weight display and 20 feet of load cell cable.,,,Cable Length:,20 ft (6.1 m) for connecting junction box to indicator,
,"Four NTEP Certified alloy steel, shear beam load cells",,,,,Threaded Eyebolt:,Hole (1/2-20 NF) located in center of deck for easy lifting,
,Top-access junction box,,,,,Warranty (limited):,Weldment and load cells two-years All other components one-year,
,Rugged diamond safety treadplate steel deck,,,,,Power:,Line voltages: 115 or 230 VAC Frequency: 50 or 60 Hz,
,"Four adjustable rigid polyurethane rubber feet, 3 in (76 mm) diameter",,,,120 Indicator Specifications,Communication Port:,"EDP port: Full duplex RS-232 Printer port: Output-only RS-232 or active 20 mA current loop Both ports: 9600, 4800, 2400, 1200, 600, 300bps; Seven or eight data bits; even, odd or no parity",
,Signal trim summing board housed in ABS enclosure,,,,,Display:,"0.8 in (20 mm), six-digit red LED display, seven-segment digits",
,Threaded eyebolt hole (1/2–20NF) located in the center of the deck for easy lifting,,,,,Annunciators:,"Center of zero, stand still, gross, net, lb, kg, oz, g",
,Large 0.8 in backlit LCD display,,,,,Keys/Buttons:,"Five-key flat membrane panel, tactile feel",
,Five-button operation,,,,,Rating/Material:,Enclosure: heavy gauge ABS,
,Full front panel digital calibration and configuration,,,,,Warranty:,One-year limited,
,,,,,,Approvals:,"NTEP CC 03-059, Class III/IIIL 10,000d Measurement Canada AM-5517, Class III/IIIHD 10,000d EU Test Certificate TC7028 (120) Class III, 10,000d CE marked",
,,,,,,,,
,,,,,,,,
Summit® 3000 Floor Scale ,Four NTEP Certified alloy steel shear beam load cells ,https://www.ricelake.com/media/jk3j0cba/_portals_0_products_e3c7cf837c3146a3a693a7acef46211b-orig.png?mode=max&width=500&rnd=132495834803830000,Low Profile Industrial Floor Scale,,Summit 3000 Floor Scale Specifications,End Load Capacity:,"100% full scale at 2,000 lb and 5,000 lb 80% full scale at 10,000 lb",https://www.ricelake.com/products/summit-3000-floor-scale/
,Top access junction box ,,Our Summit 3000 floor scale is an economical choice for a wide range of industrial weighing tasks. Its durable low-profile deck fits well into many material handling environments. This Legal for Trade scale also features threaded eye bolt holes for easy lifting from the center of the deck.,,,Cable Length: ,20 ft (6.1 m) for connecting junction box to indicator,
,Rugged diamond safety treadplate steel deck ,,"All Rice Lake floor scales, unless specified otherwise, are built with lifting holes to simplify installation and maintenance.",,,Threaded Eyebolt:,Hole (1/2-20 NF) located in center of deck for easy lifting,
,"Four adjustable rigid polyurethane rubber feet, 3 in (76 mm) diameter ",,,,,Warranty (limited):,"Weldment and load cells two-years, all other components one-year",
,Signal trim summing board housed in ABS enclosure ,,,,,,,
,Threaded eyebolt hole (1/2-20NF) located in the center of the deck for easy lifting ,,,,,,,
,"20 ft of EL147 load cell cable. The load cell cable exits weldment toward the interior of scale, allowing flexibility to route out any side of scale to digital weight indicator.",,,,,,,
Summit 3000 Access Ramps and Pit Frame,,https://www.ricelake.com/media/jephq1pp/_portals_0_products_123a3e48826a4c46affc71b63dcc9296-orig-1.png?mode=max&width=500&rnd=132811196204730000,,,,,,https://www.ricelake.com/products/summit-3000-access-ramps-and-pit-frame/
Floor Scale Pit Mounted Riser Stand,Ideal for applications with an existing pit and the depth exceeds the standard put-depth for scale,https://www.ricelake.com/media/qecbfkp1/_portals_0_products_f91e8e8149814bdbaf3d48c829820e53-orig.png?mode=max&width=500&rnd=132494138562570000,,,Floor Scale Pit Riser Stand Dimensions,,,https://www.ricelake.com/products/floor-scale-pit-mounted-riser-stand/
,Designed to be anchored to pit floor (anchor bolts not included),,,,,,,
"RoughDeck® HP, HP-H, SS and HE Access Ramps",,https://www.ricelake.com/media/50ubmi4z/rl-roughdeck-hp-hp-h-ss-and-he-access-ramps.png?mode=max&width=500&rnd=133283915874130000,,,,,,https://www.ricelake.com/products/roughdeck-hp-hp-h-ss-and-he-access-ramps/
"RoughDeck® HP, HP-H, SS, and HE Pit Frames",,https://www.ricelake.com/media/aqvnopgb/rl-roughdeck-hp-hp-h-ss-and-he-pit-frames.png?mode=max&width=500&rnd=133283916732670000,,,,,,https://www.ricelake.com/products/roughdeck-hp-hp-h-ss-and-he-pit-frames/
"RoughDeck® HP, HP-H, SS and HE Bumper Guards",,https://www.ricelake.com/media/swqh13ms/rl-roughdeck-hp-hp-h-ss-and-he-bumper-guards.png?mode=max&width=500&rnd=133283918875100000,,,Bumper Guards Specifications,,,https://www.ricelake.com/products/roughdeck-hp-hp-h-ss-and-he-bumper-guards/
,,https://www.ricelake.com/media/jmdbzukk/_portals_0_products_5d39eaee659e4b738b24643572cecb6b-orig.png?mode=max&width=500&rnd=132496022109770000,,,"RoughDeck HP, HP-H, SS and HE Bumper Guards Option A Dimensions",,,
,,https://www.ricelake.com/media/jophisxe/_portals_0_products_cb203105698b47778a0b68594cd0c8c5-orig.png?mode=max&width=500&rnd=132496021912400000,,,"RoughDeck HP, HP-H, SS and HE Bumper Guards Option B Dimensions",,,
,,,,,"RoughDeck HP, HP-H, SS and HE Bumper Guards Option C Dimensions",,,
RoughDeck® HP Caster Portability Frame,Painted mild steel,https://www.ricelake.com/media/lsyjj1qx/1_roughdeck_hp_caster_portability_leftface.png?mode=max&width=500&rnd=133446473277030000,,,RoughDeck HP Caster Portability Frame Dimensions,,,https://www.ricelake.com/products/roughdeck-hp-caster-portability-frame/
,Indicator stand fits 480 Legend weight indicators,,,,,,,
,"Two rigid forged steel casters, two swivel forged steel caster with lock on back",,,,,,,
,"Casters for scales 1,000 to 5,000 lb are rated for 4,000 lb each",,,,,,,
RoughDeck® HP and SS Forklift Portability Frame,"Indicator stand mount bracket for 120/120 Plus, 882IS/882IS Plus with battery, 880/880 Plus, 480/480 Plus, 680 Synergy",https://www.ricelake.com/media/vaddkjzi/rl-roughdeck-hp-and-ss-forklift-portability-frame.jpg?mode=max&width=500&rnd=133283920282070000,,,RoughDeck HP and SS Portability Frame Dimensions,,,https://www.ricelake.com/products/roughdeck-hp-and-ss-forklift-portability-frame/
,Forklift channels,,,,,,,
"RoughDeck® HP Caster SENDit Portability Frames, Non-NTEP",Wireless connection from scale to operator display,https://www.ricelake.com/media/25einvkf/rl-roughdeck-hp-caster-sendit-portability-frames.png?mode=max&width=500&rnd=133283923413030000,,,RoughDeck HP SENDit Portability Frames Dimensions,,,https://www.ricelake.com/products/roughdeck-hp-caster-sendit-portability-frames-non-ntep/
,Works with any basic digital weight indicator,https://www.ricelake.com/media/s5jab40u/1_us_sendit_2products.png?mode=max&width=500&rnd=132972723026670000,,,,,,
,"Excitation to the load cell(s) provided by the transmitter, not the indicator",,,,,,,
,Each transmitter/receiver set is individually paired and will not interfere with another set,,,,,,,
,"Transmitter excitation voltage: +4.8 VDC, 16 × 350 ohm or 32 × 700 ohm load cells",,,,,,,
"RoughDeck® HP Caster SENDit Portability Frames, NTEP",Wireless connection from scale to operator display,https://www.ricelake.com/media/25einvkf/rl-roughdeck-hp-caster-sendit-portability-frames.png?mode=max&width=500&rnd=133283923413030000,,,RoughDeck HP SENDit Portability Frames Dimensions,,,https://www.ricelake.com/products/roughdeck-hp-caster-sendit-portability-frames-ntep/
,"Excitation to the load cell(s) provided by the transmitter, not the indicator",https://www.ricelake.com/media/yniln0rp/caster-sendit-ntep.png?mode=max&width=500&rnd=132972729008400000,,,,,,
,Each transmitter/receiver set is individually paired and will not interfere with another set,,,,,,,
,"Transmitter excitation voltage: +4.8 VDC, 16 × 350 ohm or 32 × 700 ohm load cells",,,,,,,
,Estimated battery life of 100 hours,,,,,,,
,Two set-points with red/green display for operator verification,,,,,,,
,Optional audible alarm,,,,,,,
"RoughDeck® HP Forklift SENDit Portability Frames, Non-NTEP",Wireless connection from scale to operator display,https://www.ricelake.com/media/5mbdcl50/rl-roughdeck-hp-forklift-sendit-portability-frames.jpg?mode=max&width=500&rnd=133283928276130000,,,RoughDeck HP SENDit Portability Frames Dimensions,,,https://www.ricelake.com/products/roughdeck-hp-forklift-sendit-portability-frames-non-ntep/
,Works with any basic digital weight indicator,https://www.ricelake.com/media/n2phdv0z/2022_floorscale_insideportabilityframe.jpg?mode=max&width=500&rnd=132939206249700000,,,,,,
,"Excitation to the load cell(s) provided by the transmitter, not the indicator",https://www.ricelake.com/media/ae3klzxx/2022_floorscale_emptyframe.jpg?mode=max&width=500&rnd=132939206202900000,,,,,,
,"Transmitter excitation voltage: +4.8 VDC, 16 × 350 ohm or 32 × 700 ohm load cells",https://www.ricelake.com/media/ugvhxifl/1_us_sendit_2products.png?mode=max&width=500&rnd=132972706800770000,,,,,,
,Each transmitter/receiver set is individually paired and will not interfere with another set,,,,,,,
"RoughDeck® HP Forklift SENDit Portability Frame, NTEP",Wireless connection from scale to operator display,https://www.ricelake.com/media/5mbdcl50/rl-roughdeck-hp-forklift-sendit-portability-frames.jpg?mode=max&width=500&rnd=133283928276130000,,,RoughDeck HP SENDit Portability Frames Dimensions,,,https://www.ricelake.com/products/roughdeck-hp-forklift-sendit-portability-frame-ntep/
,"Excitation to the load cell(s) provided by the transmitter, not the indicator",https://www.ricelake.com/media/ae3klzxx/2022_floorscale_emptyframe.jpg?mode=max&width=500&rnd=132939206202900000,,,,,,
,Each transmitter/receiver set is individually paired and will not interfere with another set,https://www.ricelake.com/media/n2phdv0z/2022_floorscale_insideportabilityframe.jpg?mode=max&width=500&rnd=132939206249700000,,,,,,
,"Transmitter excitation voltage: +4.8 VDC, 16 × 350 ohm or 32 × 700 ohm load cells",https://www.ricelake.com/media/swqezosw/2022_floorscale_sendits_8004hd.jpg?mode=max&width=500&rnd=132939206394700000,,,,,,
,Estimated battery life of 100 hours,https://www.ricelake.com/media/gwrllfhk/hp-sendit.png?mode=max&width=500&rnd=132802755673300000,,,,,,
,Two setpoints with red/green display for operator verification,,,,,,,
,Optional audible alarm,,,,,,,
